名称,编码,等级,所属地区,纬度,经度
江西,360000,province,中华人民共和国,28.676493,115.892151
河南,410000,province,中华人民共和国,34.757975,113.665412
四川,510000,province,中华人民共和国,30.659462,104.065735
重庆,500000,province,中华人民共和国,29.533155,106.504962
西藏,540000,province,中华人民共和国,29.660361,91.132212
贵州,520000,province,中华人民共和国,26.578343,106.713478
辽宁,210000,province,中华人民共和国,41.796767,123.429096
新疆,650000,province,中华人民共和国,43.792818,87.617733
山东,370000,province,中华人民共和国,36.675807,117.000923
上海,310000,province,中华人民共和国,31.231706,121.472644
澳門,820000,province,中华人民共和国,22.198951,113.54909
山西,140000,province,中华人民共和国,37.857014,112.549248
浙江,330000,province,中华人民共和国,30.287459,120.153576
海南,460000,province,中华人民共和国,20.031971,110.33119
福建,350000,province,中华人民共和国,26.075302,119.306239
青海,630000,province,中华人民共和国,36.623178,101.778916
宁夏,640000,province,中华人民共和国,38.46637,106.278179
湖北,420000,province,中华人民共和国,30.584355,114.298572
甘肃,620000,province,中华人民共和国,36.058039,103.823557
安徽,340000,province,中华人民共和国,31.86119,117.283042
台湾,710000,province,中华人民共和国,25.044332,121.509062
陕西,610000,province,中华人民共和国,34.263161,108.948024
广西,450000,province,中华人民共和国,22.82402,108.320004
天津,120000,province,中华人民共和国,39.125596,117.190182
云南,530000,province,中华人民共和国,25.040609,102.712251
黑龙江,230000,province,中华人民共和国,45.756967,126.642464
广东,440000,province,中华人民共和国,23.125178,113.280637
湖南,430000,province,中华人民共和国,28.19409,112.982279
河北,130000,province,中华人民共和国,38.045474,114.502461
内蒙古,150000,province,中华人民共和国,40.818311,111.670801
吉林,220000,province,中华人民共和国,43.886841,125.3245
江苏,320000,province,中华人民共和国,32.041544,118.767413
北京,110000,province,中华人民共和国,39.904989,116.405285
香港,810000,province,中华人民共和国,22.320048,114.173355
